session,max(max(amplitude)),max(mean(amplitude)),max(var(amplitude)),mean(max(amplitude)),mean(mean(amplitude)),mean(var(amplitude)),var(max(amplitude)),var(mean(amplitude)),var(var(amplitude))
Angry_0,17.1876109521,0.116745205711,18.3689284159,10.2606177545,0.0015544925352,6.10547890893,23.5966929852,0.00159709130123,25.2139120024
Angry_1,17.0207427376,0.01669608085,11.8967385895,5.49589789195,-0.000605682269318,1.54654749469,16.9546000722,1.57954514036e-05,5.53581064036
Angry_10,5.58742946866,0.00253425747797,0.931019119834,2.92745025255,0.000183424736354,0.576777691242,0.634472360598,6.88153206328e-07,0.0494168470488
Angry_100,17.7225512087,0.0402199005192,25.1202485731,13.5218030748,-0.00154935610268,10.879513506,15.2458108074,0.000319868105714,49.0517877585
Angry_101,18.3031557192,0.0485713674412,28.2442345923,9.63078786882,0.00140181942215,7.04316395542,45.7245913463,0.000404031756151,60.3262463794
Angry_102,17.5227598896,0.0256253321283,12.0591385013,9.26321141487,-0.00111549177241,3.54466571493,30.1438968621,0.000162817985378,9.22173786224
Angry_103,17.8802457789,0.0576086591013,25.6971259131,12.4761666442,-0.000155876350534,6.9636879031,23.5715675593,0.000302407866891,30.9374508776
Angry_104,17.5394431588,0.0502651141433,16.5412945712,12.5303131584,-0.00256119295918,5.67396690443,23.5146878595,0.000446397773425,14.827458599
Angry_105,16.8857471058,0.0168558372228,13.2976644163,7.2445824265,-0.000479454144371,2.06337815989,3.70008090228,2.2716623993e-05,3.64152205721
Angry_106,8.82315550669,0.00544420802114,4.46507425917,6.828097423,-0.000669652241544,1.76988589097,3.33433152767,1.03786411194e-05,1.09984830839
Angry_107,8.68305796981,0.00359108035083,6.60564856521,5.49735305255,-0.000792819530079,1.52192779713,7.83457983679,2.72688010819e-06,2.08012300699
Angry_108,8.65604261336,0.00558637834025,6.30805849457,6.5338124773,-0.000820120418843,1.88720492452,4.50029706032,1.13653404508e-05,2.28799978122
Angry_109,8.7102638295,0.00488433908996,4.32603736127,6.80849241872,-0.000820509682951,2.04399927771,4.91307229731,6.98641514744e-06,1.09846807969
Angry_11,4.05212618843,0.00404522785161,0.724711981442,2.13529213039,0.00034102981681,0.273860256487,0.740544423874,9.48250058521e-07,0.0272233718513
Angry_110,13.8293569052,0.0106953445036,5.00610961653,7.88491575959,-0.000868039445354,2.26598687993,7.25066915016,1.44852622277e-05,1.62042710484
Angry_111,16.8503573955,0.00717147738897,11.6330921034,7.24019766915,-0.000656620897305,2.22255663026,18.5699066004,1.24213269291e-05,6.58023168073
Angry_112,15.423844719,0.00663028056452,4.7681188467,6.64352238081,-0.000646142637343,1.53073157978,8.72732534518,9.75641384643e-06,0.928966055453
Angry_113,17.2568840201,0.00804503044149,7.60725811474,7.20299028697,-0.000918841880345,1.84619678433,10.136798181,9.37969887061e-06,2.65985444082
Angry_114,16.7836075221,0.011634498946,8.3451917939,8.68603899545,-0.000528800138162,2.81403819593,9.59235736775,1.29270598666e-05,3.13247886812
Angry_115,17.0372715139,0.00455483412502,8.74317365767,8.21102125356,-0.000766147983762,2.61034354648,10.755911343,7.44559918894e-06,2.98448469397
Angry_116,8.61277664476,0.00619036177711,4.10381908484,4.74061705676,-0.00085905142571,0.964890119858,11.7498170355,7.20226607313e-06,1.08634503028
Angry_117,17.8683516466,0.0162186181563,8.25693905875,6.69671455892,-0.00084039439207,2.08411491997,19.1254809612,1.45150181269e-05,3.83741013154
Angry_118,16.6778316011,0.0491398511401,15.8992383089,10.7725814672,0.000483401122529,7.11355738803,6.99975290583,0.000933024484523,7.23278775311
Angry_119,16.3939563341,0.0822937566828,11.2100596488,11.1718169663,0.000254189707574,7.47135304334,5.29623647008,0.00115593515745,4.96901389375
Angry_12,17.4933932485,0.0151937659098,37.4108005398,7.96440019995,-0.012114773466,3.95807766742,33.8585598149,5.43181618762e-05,59.7153916486
Angry_120,16.2356847903,0.0817879914881,12.7411179718,10.8789143433,0.0016809447637,6.85469557706,7.17822264184,0.00110134623143,6.30889251476
Angry_121,15.6029544658,0.0625307488079,10.7818814792,10.6524217777,-0.000737886980953,6.78155696596,4.34251715519,0.000866110174625,5.42131086159
Angry_122,16.99412627,0.0664235526143,17.541439235,10.9989795348,0.00235489994963,8.30238402229,11.734925687,0.00165213510794,17.5941218344
Angry_123,17.2903503188,0.0781762823549,21.9804613461,11.0275653898,0.00199227633912,9.32264053201,17.6101451957,0.00150995508842,28.5630209452
Angry_124,16.5441561224,0.0648686740411,22.1026804616,10.6868216353,-0.0020176583114,9.53215549108,5.94664668582,0.000755239140186,13.5940467977
Angry_125,14.3969996235,0.102722791671,12.3120706401,10.1042272631,-0.000755689597241,6.92534789543,2.06464841673,0.00109752847843,3.24834266884
Angry_126,15.8138940565,0.0993819144917,14.284768699,10.9865467554,-0.0022557701919,8.23176289593,3.59083961077,0.00143479802298,8.15806166554
Angry_127,17.6802198247,0.113889443605,22.6175193016,11.8466294967,-0.00531399225361,9.83579777287,18.975322426,0.00301870577715,32.0168167893
Angry_128,17.4018458969,0.151065896641,16.3160749827,11.8665585541,0.00235385903871,8.30563205083,6.19319135381,0.0019144623759,9.56278769557
Angry_129,16.6789981873,0.0823334714236,11.613726275,11.1038284838,0.00153205571395,7.39155476553,4.95550705138,0.000823522908903,4.48614174591
Angry_13,17.8420464324,0.0276602023574,36.6666399214,13.1595020264,-0.0144407706257,10.2305303924,25.2835171639,0.000168492535901,88.8318413614
Angry_130,16.3653804536,0.0444299258066,12.2169884753,10.5541507468,0.00150312556489,8.00721481635,5.93795044622,0.000687989383388,4.6439543363
Angry_131,17.1125070597,0.0956051441881,14.6652148374,11.533451166,-0.00237786644899,7.6592151503,5.03827084948,0.00172314419746,7.98103914315
Angry_132,16.9204392843,0.0839889074881,13.3019262441,11.8894164523,0.00179262215225,7.44955005374,7.22631267334,0.000819766156445,8.9111971819
Angry_133,17.4718144722,0.0919848141211,20.9054462344,12.0647444703,5.59770495948e-07,8.73421768314,18.6464926131,0.00140018577039,29.7373603429
Angry_134,14.4604070472,0.0796269379494,13.1017822391,10.6523777917,-0.00309637116445,7.43648832297,5.05328364493,0.00117412918708,8.23920227849
Angry_135,15.361389403,0.0836494722565,13.2769531651,11.1932065614,0.00197092845391,7.41231851968,5.08763917831,0.00106675537591,6.43797330733
Angry_136,14.8285208452,0.00694288308372,8.23904243333,7.70081899884,-0.000974616280115,2.46229688624,12.3523633848,1.17769019455e-05,4.72427287208
Angry_137,17.3702770128,0.00412684877528,9.9628372319,6.45240802774,-0.000846911567581,1.53744605836,13.0396792458,5.23610476366e-06,3.54654625654
