session,max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing))
Angry_216,8980.0,7722.89090909,153773.224463
Angry_217,8409.0,7569.47272727,231615.340165
Angry_218,9243.0,7586.87272727,279737.892893
Angry_219,8673.0,7442.72727273,295784.052893
Angry_22,8039.0,7324.76363636,157348.689587
Angry_220,8840.0,7639.96363636,395645.198678
Angry_221,8790.0,7591.81818182,384378.621488
Angry_222,8159.0,7285.43636364,112687.84595
Angry_223,8333.0,7345.01818182,246961.872397
Angry_224,8704.0,7386.56363636,347223.591405
Angry_225,10649.0,7444.15492958,428270.581631
Angry_226,8790.0,7841.27272727,113534.089256
Angry_227,8641.0,7874.05454545,178690.524298
Angry_228,8634.0,7884.0,158604.690909
Angry_229,8986.0,7819.61818182,145772.672397
Angry_23,8493.0,7761.16363636,129052.682314
Angry_230,9268.0,7734.83636364,317008.53686
Angry_231,8473.0,7892.88505747,141025.228168
Angry_24,8633.0,7527.36363636,285897.213223
Angry_25,8404.0,7453.07272727,122711.521983
Angry_26,8438.0,7345.50909091,203454.104463
Angry_27,8246.0,7149.72727273,210169.798347
Angry_28,8188.0,7389.32727273,150449.311074
Angry_29,8144.0,7423.78181818,146360.461488
Angry_3,8413.0,7492.25454545,203329.789752
Angry_30,7847.0,7031.23636364,143225.780496
Angry_31,8078.0,7112.6,222914.930909
Angry_32,7992.0,7223.30909091,152659.049917
Angry_33,8325.0,7302.74545455,190262.698843
Angry_34,8352.0,7383.14545455,151726.306116
Angry_35,8349.0,7369.49090909,221276.104463
Angry_36,8249.0,7129.72727273,179478.343802
Angry_37,7858.0,7234.41818182,144286.606942
Angry_38,7855.0,7127.98181818,138770.526942
Angry_39,7750.0,6981.90909091,112480.628099
Angry_4,8221.0,7180.97560976,93136.7798929
Angry_40,8364.0,7249.69090909,171886.57719
Angry_41,8368.0,7242.14545455,204080.815207
Angry_42,7877.0,7135.58181818,163017.443306
Angry_43,7918.0,7163.6,189622.494545
Angry_44,7802.0,7298.23636364,80503.162314
Angry_45,8250.0,7250.10909091,140503.69719
Angry_46,8639.0,7424.36363636,139074.013223
Angry_47,8564.0,7355.25454545,184933.862479
Angry_48,7882.0,7429.49090909,55081.2680992
Angry_49,8145.0,7207.6,196764.64
Angry_5,7703.0,7323.41818182,46511.625124
Angry_50,7507.0,7096.98181818,65360.4542149
Angry_51,7742.0,6990.98181818,163922.854215
Angry_52,8029.0,7206.27272727,129537.907438
Angry_53,8488.0,7291.12727273,152087.311074
Angry_54,8066.0,7331.65454545,73684.9897521
Angry_55,8128.0,7332.34285714,144766.568163
Angry_56,10385.0,7477.38181818,713896.417851
Angry_57,8538.0,7546.36363636,193848.88595
Angry_58,8807.0,7600.23636364,208646.762314
Angry_59,8289.0,7544.10909091,112756.933554
Angry_6,8126.0,7339.23636364,89753.271405
Angry_60,8497.0,7605.56363636,185320.791405
Angry_61,8255.0,7576.21818182,209771.625124
Angry_62,8785.0,7468.6,232851.84
Angry_63,8625.0,7510.47272727,269483.449256
Angry_64,8860.0,7522.58181818,379501.552397
Angry_65,8674.0,7425.78181818,264428.534215
Angry_66,9513.0,7643.46590909,304111.044292
Angry_67,9760.0,7506.49090909,825882.831736
Angry_68,8587.0,7681.32727273,298326.911074
Angry_69,9524.0,7332.2688172,373999.164296
Angry_7,8344.0,7260.58181818,171045.406942
Angry_70,8505.0,7398.74545455,253383.680661
Angry_71,9265.0,7505.72727273,292553.761983
Angry_72,8432.0,7591.25454545,206040.735207
Angry_73,8906.0,7628.01818182,109064.70876
Angry_74,8253.0,7408.78181818,180965.225124
Angry_75,7669.0,6771.54545455,167274.029752
Angry_76,9354.0,7509.08080808,286380.579329
Angry_77,8366.0,7294.41818182,311914.279669
Angry_78,8198.0,7127.38181818,336121.799669
Angry_79,8400.0,7138.94545455,252362.197025
Angry_8,7802.0,7202.37804878,71926.844884
Angry_80,8359.0,7517.05454545,182213.797025
Angry_81,8634.0,7460.16363636,143121.918678
Angry_82,8506.0,7545.27272727,230918.707438
Angry_83,8574.0,7446.63636364,220714.049587
Angry_84,8563.0,7539.70909091,177195.879008
Angry_85,9608.0,7758.14545455,333541.65157
Angry_86,8879.0,7754.09090909,388672.991736
Angry_87,8587.0,7444.87272727,190311.274711
Angry_88,7853.0,7279.34545455,186222.553388
Angry_89,8064.0,7230.01818182,189074.417851
Angry_9,8667.0,7920.94545455,111495.433388
Angry_90,9861.0,7560.78181818,479620.934215
Angry_91,8327.0,7536.8,162730.305455
Angry_92,8465.0,7491.54545455,227980.284298
Angry_93,8832.0,7623.74545455,284118.117025
Angry_94,9074.0,7624.01818182,305559.436033
Angry_95,8725.0,7711.14545455,657667.942479
Angry_96,9000.0,7437.09090909,535715.646281
Angry_97,8013.0,7403.36363636,103172.522314
Angry_98,9584.0,7564.43636364,594590.827769
Angry_99,9657.0,7773.23636364,755589.671405
Happy_232,8010.0,7316.10909091,62817.5517355
Happy_233,7682.0,7112.90243902,74896.7953599
Happy_234,8170.0,7370.03636364,175147.489587
Happy_235,7747.0,7304.63636364,59085.5768595
