session,max(zerocrossing(zerocrossing)),mean(zerocrossing(zerocrossing)),var(zerocrossing(zerocrossing))
Sad_565,7815.0,6799.85454545,198196.669752
Sad_566,7825.0,7225.0,126358.8
Sad_567,7989.0,7069.6,212497.476364
Sad_568,7965.0,6697.06730769,367597.562777
Sad_569,8121.0,7546.97959184,83923.9791753
Sad_570,8330.0,7513.51515152,140762.633609
Sad_571,8362.0,7435.12727273,307008.692893
Sad_572,8363.0,7398.72727273,337294.380165
Sad_573,8952.0,7416.74545455,322862.117025
Sad_574,8279.0,7333.41818182,288767.552397
Sad_575,7985.0,7221.27272727,216300.234711
Sad_576,8520.0,7401.09090909,441689.53719
Sad_577,8638.0,7435.36363636,279777.104132
Sad_578,8392.0,7106.01818182,370478.781488
Sad_579,8473.0,7339.69090909,254445.268099
Sad_580,8248.0,7401.78181818,212430.78876
Sad_581,8301.0,7179.14545455,381091.869752
Sad_582,8410.0,7270.27272727,274676.380165
Sad_583,8503.0,7268.27272727,435596.92562
Sad_584,8268.0,7159.92727273,242313.121983
Sad_585,8037.0,7127.83636364,292211.227769
Sad_586,8473.0,7074.85454545,240051.578843
Sad_587,8233.0,7017.34545455,344247.826116
Sad_588,8446.0,7264.2,412580.232727
Sad_589,8299.0,7178.07272727,231193.449256
Sad_590,8220.0,7149.83636364,273401.155041
Sad_591,8308.0,7234.2,211946.087273
Sad_592,7750.0,6979.69090909,146147.304463
Sad_593,7952.0,7029.07272727,246137.849256
Sad_594,8141.0,7273.49090909,136254.322645
Sad_595,7711.0,6912.43636364,310778.573223
Sad_596,8130.0,6986.54545455,362175.157025
Sad_597,8637.0,7926.96153846,77767.5946746
Sad_598,8468.0,7904.4,80591.9490909
Sad_599,8346.0,7885.52727273,62901.2310744
Sad_600,8365.0,7831.10909091,76726.4244628
Sad_601,8344.0,7833.47272727,61349.4856198
Sad_602,8402.0,7919.83636364,65290.682314
Sad_603,8305.0,7887.36363636,52773.9041322
Sad_604,8382.0,7896.81818182,54648.2214876
Sad_605,8482.0,7896.18181818,63756.185124
Sad_606,8441.0,7866.47272727,31855.8492562
Sad_607,8254.0,7874.16363636,45825.6277686
Sad_608,8149.0,7771.47272727,51860.1765289
Sad_609,8575.0,7859.58181818,97295.225124
Sad_610,8678.0,8026.45454545,107936.538843
Sad_611,8338.0,7974.43636364,61217.882314
Sad_612,8455.0,7958.0,49616.6545455
Sad_613,8435.0,7925.25454545,49472.298843
Sad_614,8461.0,7697.54545455,180679.01157
Sad_615,8150.0,7788.69090909,47357.9953719
Sad_616,8397.0,7986.14545455,37608.9606612
Sad_617,8266.0,7921.2,36821.9781818
Sad_618,8577.0,7796.09090909,103917.828099
Sad_619,8383.0,7900.67272727,30703.5292562
Sad_620,8184.0,7768.03636364,44972.5077686
Sad_621,8307.0,7836.32727273,59458.9838017
Sad_622,8233.0,7749.87272727,58238.947438
Sad_623,8454.0,7786.58181818,70915.625124
Sad_624,8593.0,7934.12727273,50400.8747107
Sad_625,8224.0,7803.25454545,44144.4806612
Sad_626,8273.0,7885.61818182,41837.6905785
Sad_627,8361.0,7902.83636364,48371.7368595
Sad_628,8255.0,7879.34545455,42704.6624793
Sad_629,8198.0,7847.18181818,53665.2033058
Sad_630,8491.0,7700.49090909,63913.9226446
Sad_631,8228.0,7762.6,92536.64
Sad_632,8751.0,7765.12727273,127483.783802
Sad_633,8446.0,7819.0,152323.381818
Sad_634,8589.0,7850.41818182,236443.734215
Sad_635,8033.0,7681.94545455,49136.5970248
Sad_636,8678.0,7763.2,104367.178182
Sad_637,8343.0,7695.0,81801.2
Sad_638,8582.0,7819.01818182,118708.017851
Sad_639,8724.0,7887.45454545,116031.084298
Sad_640,8293.0,7846.56363636,66280.0277686
Sad_641,8422.0,7817.0,110409.054545
Sad_642,8509.0,7884.70909091,75879.9517355
Sad_643,8272.0,7723.30909091,95048.7226446
Sad_644,8190.0,7869.92727273,74164.6492562
Sad_645,8570.0,7890.74242424,113031.766988
Sad_646,7649.0,7044.83636364,96359.7368595
Sad_647,7595.0,7082.58181818,144076.38876
Sad_648,7959.0,7334.38181818,74989.0723967
Sad_649,7569.0,7044.87272727,144126.001983
Sad_650,7645.0,7209.67272727,68107.0565289
Sad_651,7708.0,7293.27272727,57253.4347107
Sad_652,7607.0,7043.61818182,98654.3087603
Sad_653,7754.0,7249.07272727,101847.449256
Sad_654,7834.0,7068.03636364,192384.798678
Sad_655,7642.0,7171.03636364,77581.7804959
Sad_656,7704.0,7361.83636364,49607.4459504
Sad_657,7671.0,7014.0,150652.981818
Sad_658,7551.0,6969.42708333,141905.494683
Sad_659,8515.0,7810.73863636,69303.056689
Sad_660,8038.0,7483.34545455,105413.317025
Sad_661,8054.0,7556.52727273,77601.0492562
Sad_662,8724.0,7653.87272727,103003.601983
Sad_663,8495.0,7599.03225806,91724.5258411
Sad_664,8420.0,7848.74545455,73536.7715702
Sad_665,9690.0,8053.81818182,198164.803306
Sad_666,8701.0,7897.56363636,93210.2095868
Sad_667,9804.0,7626.03636364,460838.653223
Sad_668,8499.0,7736.36363636,132293.904132
Sad_669,8616.0,8031.18181818,91079.3487603
Sad_670,9250.0,7993.72727273,142614.416529
Sad_671,8521.0,7932.25454545,125604.880661
Sad_672,8587.0,7788.4,179554.967273
Sad_673,8553.0,7714.52727273,264106.394711
Sad_674,8227.0,7582.27272727,123699.761983
Sad_675,8118.0,7495.16161616,107188.943577
Sad_676,8288.0,7814.50909091,79687.5953719
Sad_677,8438.0,7930.72727273,66335.2892562
Sad_678,8578.0,7830.21818182,93934.8614876
Sad_679,8386.0,7870.14545455,78200.3424793
Sad_680,8457.0,7875.65454545,140414.626116
Sad_681,8453.0,7915.61818182,66805.8360331
Sad_682,8427.0,7933.63636364,68003.2495868
Sad_683,8536.0,7968.66666667,60906.1616162
Sad_684,8072.0,7457.39772727,76212.1031767
Sad_685,8211.0,7677.01010101,68594.7170697
Sad_686,8436.0,7871.8,92596.7054545
Sad_687,8622.0,7842.30909091,144157.340826
Sad_688,8398.0,7805.36363636,149370.304132
Sad_689,8386.0,7834.43636364,98730.4641322
Sad_690,8717.0,7944.05454545,80651.0333884
Sad_691,8583.0,8011.5,83262.054878
Sad_692,7849.0,7111.03636364,182753.162314
Sad_693,7937.0,7171.63380282,159800.964491
Sad_694,8281.0,7654.51136364,54270.931689
Sad_695,8098.0,7530.0,37651.9636364
Sad_696,7835.0,7403.30909091,55791.8499174
Sad_697,8060.0,7408.95,55775.5141667
