session,max(max(cepstrum)),max(mean(cepstrum)),max(var(cepstrum)),mean(max(cepstrum)),mean(mean(cepstrum)),mean(var(cepstrum)),var(max(cepstrum)),var(mean(cepstrum)),var(var(cepstrum))
Angry_0,8.73972362867,0.00135840243685,0.00679319744894,5.66028068193,0.00102998038982,0.00380237144426,2.2658279203,4.22692515978e-08,1.33346731103e-06
Angry_1,8.11692572377,0.00100767969834,0.00626305664632,3.85482396704,0.000555522176745,0.0027332126988,2.60804283028,4.79764780476e-08,1.16104784376e-06
Angry_10,5.98667009379,0.000667695388534,0.00387277295699,3.87653384965,0.000328173090915,0.00253960269725,0.622130022979,4.40667859927e-08,2.61213937147e-07
Angry_100,10.7913163144,0.00121911229806,0.00877593211514,7.63236239057,0.000862599340971,0.00574831502828,2.97653445678,6.24192630872e-08,2.54857777074e-06
Angry_101,10.5253647728,0.00123011651152,0.00879942022294,5.34765669988,0.000821048236555,0.00409294737251,8.67401103889,7.74513682259e-08,4.56190119304e-06
Angry_102,8.79812165663,0.00122238807764,0.00711179271423,5.48027150087,0.000724020889806,0.00404893019217,4.68012461398,6.94421697114e-08,2.16985078544e-06
Angry_103,8.94018403176,0.00123845626311,0.00709446635654,6.49408842632,0.000832051429933,0.00478042865982,3.57123756989,5.5525255997e-08,2.49394736014e-06
Angry_104,9.45415886774,0.00121631499855,0.0072000704565,6.97769656182,0.000883688085262,0.00510686463556,2.7354189523,6.08094863496e-08,1.91718199229e-06
Angry_105,8.44949192687,0.00100939704776,0.00607134626824,4.30969423265,0.000554418993457,0.00290991353734,1.35987313023,6.55641727224e-08,5.80816123069e-07
Angry_106,6.13465184067,0.000877270582717,0.00398589283836,4.20710164902,0.000602506389383,0.00281515682423,0.753500925183,3.93624185759e-08,3.64613787227e-07
Angry_107,6.90791694109,0.000786922421068,0.00418649101346,3.84637990535,0.00048623959596,0.00268243716874,1.59257709353,3.21917602353e-08,5.93107883587e-07
Angry_108,5.5287840291,0.00097362108224,0.0040036512203,3.84492296091,0.000545854818214,0.0026370128878,0.799748427459,5.11338568285e-08,3.41516249976e-07
Angry_109,6.04130490943,0.000859037222327,0.00400615876632,4.11093856493,0.000546385989964,0.00287168775728,1.10159065088,3.87107103721e-08,3.89030051738e-07
Angry_11,5.12129972708,0.000752027620778,0.00371218333548,3.84951395804,0.000355031016241,0.00275448547357,0.243586968955,5.95087887511e-08,2.54344445763e-07
Angry_110,8.18585505312,0.000937584798748,0.00605721257706,4.91439790323,0.000605285986563,0.00344300486303,1.56911709692,4.10866144255e-08,7.53951305942e-07
Angry_111,8.94939430416,0.000936575475437,0.0065028722649,4.51333446359,0.000531629581413,0.00323715462095,3.68745856362,5.60367273371e-08,1.84220993293e-06
Angry_112,7.86141149012,0.000977828795364,0.00508781719455,4.93517119011,0.000535236499197,0.00340948656059,1.14876332054,4.02446887051e-08,5.64781263698e-07
Angry_113,8.17824140466,0.00096335047003,0.00645423333648,4.90038703116,0.000577024435185,0.00342929602166,1.91919754876,2.81024795403e-08,1.09275791311e-06
Angry_114,8.64924147057,0.000942542146941,0.00653166931283,5.51890446752,0.000572760524688,0.00385697676547,2.58654040343,5.69625860863e-08,1.48496657058e-06
Angry_115,9.19008003301,0.00094573520538,0.00648382797375,5.44469867528,0.000565569299795,0.00378317338071,1.90241008645,2.91421535605e-08,1.07053178552e-06
Angry_116,5.4756735837,0.00088830714698,0.00426425932547,3.25015648912,0.000531195383744,0.00244533335016,1.38927121345,3.13098687615e-08,5.05703605696e-07
Angry_117,7.93057216962,0.00100244737506,0.00599469670417,4.19503559845,0.00054638368585,0.00288412389817,2.9195421748,6.60023688598e-08,1.34037881402e-06
Angry_118,8.84616522511,0.00126094239726,0.00642914746558,6.34562254767,0.00101559853564,0.00412001340799,0.865281840418,4.34965793243e-08,6.26644246668e-07
Angry_119,8.04958189886,0.00129580668328,0.00618957592114,6.46286250757,0.000969788687455,0.00444007381135,0.433671832305,9.12422144579e-08,4.39551779538e-07
Angry_12,9.0446928136,0.00108966208225,0.00662941891157,4.42014183028,0.000937893633703,0.00279432607339,3.64222470708,9.50013817249e-09,1.67218546948e-06
Angry_120,7.77966787088,0.00129473972851,0.00595199747827,6.15981175709,0.00102947757941,0.00416856362637,0.934400987475,3.71489121303e-08,5.21616349697e-07
Angry_121,8.47237651779,0.00130267468486,0.00635075650324,6.37697760712,0.0010043493201,0.0043084837446,0.883891057307,3.53149802185e-08,6.76562371657e-07
Angry_122,8.09338395373,0.0013471110269,0.00600139502786,6.38284332522,0.00106217718117,0.00435715250311,1.27358046531,3.89313894951e-08,8.76119153536e-07
Angry_123,9.01339006359,0.00128608238429,0.0066645138867,6.3141492432,0.00105576204627,0.00423700532957,2.10157687866,3.62787197672e-08,1.59052356902e-06
Angry_124,8.51157029682,0.00125243125554,0.00649433732253,6.72294660218,0.000980471252834,0.00471425100968,0.762087847652,3.93247426871e-08,5.97549502662e-07
Angry_125,8.56523487999,0.0013353265632,0.00686644725878,6.41883646748,0.00103248110352,0.00448609060216,0.862262502191,4.11480314907e-08,8.33436695983e-07
Angry_126,8.38146777006,0.00132936392864,0.00615051493238,6.65671650508,0.00102366343922,0.00458214054039,0.718092485257,5.03169248624e-08,5.3780330961e-07
Angry_127,8.65048184459,0.00148427888503,0.00688347866689,6.51360924269,0.00108724481365,0.00451168354889,2.16107424496,3.1549506096e-08,1.51816553929e-06
