,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Angry_131,2.0,0.0,1.0,52.0,18.0,35.0,1.0,1.0,35.0,19.0,0.0,1.0,0.0,1.0,53.0,1.0,0.23502324521541595,0.2321731001138687,0.4581848382949829,0.07461874186992645,0.0008322119247168303,0.000849441799800843,0.006671276409178972,0.0034461754839867353,0.2158815935254097,0.21617334336042404,0.4114638864994049,0.03772442415356636,0.2526261806488037,0.25128938257694244,0.5079866647720337,0.08548064902424812,0.29651713371276855,0.3153620958328247,0.6008955836296082,0.325390100479126,0.29651713371276855,0.3153620958328247,0.6008955836296082,0.325390100479126
Angry_21,1.0,3.0,2.0,49.0,16.0,37.0,0.0,2.0,38.0,15.0,1.0,1.0,0.0,0.0,52.0,3.0,0.24001097679138184,0.22237087786197662,0.41985446214675903,0.11776357889175415,0.002142139244824648,0.001615226618014276,0.009575752541422844,0.016646847128868103,0.21455492824316025,0.19728906452655792,0.3872532695531845,0.05863080359995365,0.2688111662864685,0.25624868273735046,0.47545935213565826,0.1190190538764,0.3196801245212555,0.2925404906272888,0.5883487462997437,0.8328656554222107,0.3196801245212555,0.2925404906272888,0.5883487462997437,0.8328656554222107
Neutral_353,1.0,0.0,2.0,52.0,27.0,25.0,2.0,1.0,27.0,26.0,1.0,1.0,0.0,4.0,50.0,1.0,0.22736495733261108,0.23792171478271484,0.43830934166908264,0.09640395641326904,0.001561419223435223,0.0014988323673605919,0.012620882131159306,0.009363710880279541,0.20439985394477844,0.2131451964378357,0.3800082355737686,0.05213101580739021,0.24693305045366287,0.25537073612213135,0.5158304572105408,0.10256700217723846,0.32167693972587585,0.34316515922546387,0.609371542930603,0.6779454350471497,0.32167693972587585,0.34316515922546387,0.609371542930603,0.6779454350471497
Neutral_317,0.0,2.0,0.0,53.0,10.0,44.0,0.0,1.0,40.0,9.0,6.0,0.0,5.0,0.0,49.0,1.0,0.27375537157058716,0.225609689950943,0.380054235458374,0.12058068066835403,0.001096719061024487,0.0007307318737730384,0.003823168808594346,0.0025518257170915604,0.25192172825336456,0.20630064606666565,0.33136288821697235,0.08904503285884857,0.300287663936615,0.24625588208436966,0.42358140647411346,0.15027999132871628,0.34859493374824524,0.3051769733428955,0.512770414352417,0.301170289516449,0.34859493374824524,0.3051769733428955,0.512770414352417,0.301170289516449
Neutral_298,1.0,0.0,0.0,54.0,22.0,32.0,1.0,0.0,32.0,23.0,0.0,0.0,0.0,0.0,54.0,1.0,0.23683063685894012,0.2325987070798874,0.46212998032569885,0.0684407502412796,0.000585584610234946,0.0009648465784266591,0.004900508560240269,0.001738663879223168,0.22192078083753586,0.20941264182329178,0.4238027036190033,0.04472203366458416,0.25252005457878113,0.25503189861774445,0.5116308927536011,0.07822149991989136,0.2998242974281311,0.3137108087539673,0.5971925854682922,0.30667251348495483,0.2998242974281311,0.3137108087539673,0.5971925854682922,0.30667251348495483
Angry_139,6.0,1.0,2.0,62.0,21.0,44.0,2.0,4.0,44.0,23.0,3.0,1.0,0.0,3.0,64.0,4.0,0.24301756918430328,0.2315206378698349,0.4033937454223633,0.1220679059624672,0.0019696815870702267,0.0011710954131558537,0.009410785511136055,0.009824616834521294,0.2161356881260872,0.2099340483546257,0.33812616765499115,0.05680732615292072,0.2735029309988022,0.2504081651568413,0.46560969948768616,0.1551535502076149,0.3189181089401245,0.3303780257701874,0.5914174914360046,0.6646894812583923,0.3189181089401245,0.3303780257701874,0.5914174914360046,0.6646894812583923
Angry_181,1.0,2.0,3.0,49.0,4.0,47.0,2.0,2.0,42.0,6.0,7.0,0.0,8.0,0.0,43.0,4.0,0.28771406412124634,0.24000419676303864,0.35286229848861694,0.11941948533058167,0.001029543811455369,0.0006575411534868181,0.004985694773495197,0.00587543286383152,0.2734270840883255,0.22387979924678802,0.30495208501815796,0.06710834428668022,0.30509109795093536,0.25382211804389954,0.40303343534469604,0.1373598650097847,0.34604260325431824,0.33233222365379333,0.48310402035713196,0.3946075141429901,0.34604260325431824,0.33233222365379333,0.48310402035713196,0.3946075141429901
Neutral_490,1.0,1.0,4.0,49.0,20.0,33.0,0.0,2.0,34.0,19.0,1.0,1.0,0.0,2.0,50.0,3.0,0.22764544188976288,0.22496411204338074,0.4573276937007904,0.09006283432245255,0.0010292992228642106,0.001177040277980268,0.013834496960043907,0.009746789000928402,0.20745890587568283,0.19981782883405685,0.4218195378780365,0.04369111731648445,0.25364944338798523,0.23829028755426407,0.5314581394195557,0.07729838788509369,0.30267149209976196,0.35405033826828003,0.6068245768547058,0.5832110047340393,0.30267149209976196,0.35405033826828003,0.6068245768547058,0.5832110047340393
Neutral_494,2.0,0.0,7.0,46.0,28.0,24.0,0.0,3.0,21.0,24.0,9.0,1.0,4.0,7.0,39.0,5.0,0.23249909281730652,0.2511522173881531,0.38191598653793335,0.13443265855312347,0.0018875289242714643,0.002184272278100252,0.01847224496304989,0.020172080025076866,0.20767565816640854,0.21782942861318588,0.2940536439418793,0.052030470222234726,0.25361467897892,0.2682091146707535,0.48147052526474,0.14144369959831238,0.3321698009967804,0.3738597631454468,0.569239616394043,0.7465481758117676,0.3321698009967804,0.3738597631454468,0.569239616394043,0.7465481758117676
Neutral_352,5.0,0.0,3.0,47.0,25.0,21.0,7.0,2.0,24.0,25.0,4.0,2.0,1.0,9.0,41.0,4.0,0.2296694815158844,0.254090279340744,0.3924965262413025,0.1237437054514885,0.0021600592881441116,0.002715650014579296,0.01700562611222267,0.020587382838129997,0.21328609436750412,0.2190997153520584,0.30291178822517395,0.056381747126579285,0.25567056238651276,0.2908894866704941,0.48596031963825226,0.13661077618598938,0.31945982575416565,0.40007737278938293,0.5434099435806274,0.8692171573638916,0.31945982575416565,0.40007737278938293,0.5434099435806274,0.8692171573638916
