session,max(mfcccoeff0(mfcc)),max(mfcccoeff1(mfcc)),max(mfcccoeff2(mfcc)),max(mfcccoeff3(mfcc)),max(mfcccoeff4(mfcc)),max(mfcccoeff5(mfcc)),max(mfcccoeff6(mfcc)),max(mfcccoeff7(mfcc)),max(mfcccoeff8(mfcc)),max(mfcccoeff9(mfcc)),max(mfcccoeff10(mfcc)),max(mfcccoeff11(mfcc)),mean(mfcccoeff0(mfcc)),mean(mfcccoeff1(mfcc)),mean(mfcccoeff2(mfcc)),mean(mfcccoeff3(mfcc)),mean(mfcccoeff4(mfcc)),mean(mfcccoeff5(mfcc)),mean(mfcccoeff6(mfcc)),mean(mfcccoeff7(mfcc)),mean(mfcccoeff8(mfcc)),mean(mfcccoeff9(mfcc)),mean(mfcccoeff10(mfcc)),mean(mfcccoeff11(mfcc)),var(mfcccoeff0(mfcc)),var(mfcccoeff1(mfcc)),var(mfcccoeff2(mfcc)),var(mfcccoeff3(mfcc)),var(mfcccoeff4(mfcc)),var(mfcccoeff5(mfcc)),var(mfcccoeff6(mfcc)),var(mfcccoeff7(mfcc)),var(mfcccoeff8(mfcc)),var(mfcccoeff9(mfcc)),var(mfcccoeff10(mfcc)),var(mfcccoeff11(mfcc))
Angry_0,33.5746688843,4.79476881027,1.67856252193,2.9580745697,1.17720770836,1.00415837765,0.64032626152,0.655178248882,0.505622088909,0.556760728359,0.748061656952,0.646396040916,28.9745731354,2.8069858551,0.16011095047,1.09719479084,-0.0286884196103,0.0391627587378,-0.199321225286,-0.052425827831,-0.109331920743,-0.0249171797186,0.0340409688652,0.0215824972838,8.89266586304,0.999445319176,0.449255496264,0.693786084652,0.272959381342,0.119690291584,0.125135719776,0.0703410953283,0.078171685338,0.0708055123687,0.059526566416,0.0658216774464
Angry_1,33.1050834656,5.12370729446,1.68283748627,3.52495932579,1.37693333626,1.42026364803,1.11077463627,0.742908895016,0.709190249443,0.660105824471,0.687296271324,0.461270451546,26.3071327209,2.74598169327,-0.259855061769,1.19440960884,-0.226068690419,0.325531631708,0.0209097228944,-0.0214850008488,0.00320010143332,-0.157530233264,0.0440753698349,0.0195508524776,21.3748474121,1.41069281101,0.796811640263,0.733479321003,0.477020561695,0.19890075922,0.158075973392,0.146792441607,0.0690627172589,0.117600724101,0.0869787707925,0.0501987338066
Angry_10,30.0261955261,5.58927154541,1.15993702412,2.17316770554,0.755924761295,0.595583796501,0.54716783762,0.555209159851,0.567405462265,0.646045923233,0.697866380215,0.822695910931,27.3402366638,2.96089196205,-0.566187024117,0.529652416706,-0.0581425763667,-0.429748415947,-0.340204805136,-0.071195974946,-0.15824855864,0.177245646715,0.0551958829165,0.182635515928,2.60971045494,0.700253665447,0.528250873089,0.55241394043,0.176217496395,0.161757752299,0.134016603231,0.102298296988,0.0894306898117,0.044739883393,0.0601586960256,0.0442680120468
Angry_100,34.4761962891,4.10231399536,1.16643762589,3.0418510437,1.50990796089,0.985276401043,0.85728430748,0.447261571884,0.637512743473,0.499728024006,0.702212452888,0.413773238659,31.6418151855,2.21374416351,-0.0854556336999,1.21045231819,-0.336835473776,0.122152738273,0.176472529769,-0.129917696118,0.144141942263,-0.136737540364,0.114261001348,0.00967192836106,2.8995039463,0.654682934284,0.48428067565,0.783025860786,0.388683378696,0.135959655046,0.0996096283197,0.0855588540435,0.0773819461465,0.0647380799055,0.0730765536427,0.0480735041201
Angry_101,34.2777099609,4.49685955048,1.66329419613,2.92076206207,1.14957880974,0.924122214317,0.898327767849,0.55253970623,0.834526777267,0.39018368721,0.717716217041,0.570526003838,26.9324131012,2.75260543823,0.113796696067,0.964459240437,-0.40806800127,0.237399756908,0.045076161623,-0.127685904503,0.292237430811,-0.117768168449,0.046019654721,0.136531129479,38.0926017761,0.674352049828,0.561485409737,0.67121142149,0.520735263824,0.0780099630356,0.122427485883,0.13429813087,0.0461073033512,0.0848664715886,0.0578118376434,0.033691521734
Angry_102,33.4276695251,3.81031131744,1.22044348717,3.01982760429,1.67807364464,1.23126506805,0.595519661903,0.699439585209,0.643657743931,0.591848552227,0.60945057869,0.399975299835,28.4382476807,2.32437205315,-0.238837003708,0.893488943577,-0.241692200303,0.219562962651,-0.0105973426253,-0.122907713056,0.183678776026,-0.0606891214848,0.0602494329214,0.065885707736,25.1428604126,0.54775929451,0.643951058388,0.576634824276,0.564413249493,0.158859178424,0.0838009938598,0.128051355481,0.05374994874,0.0901796743274,0.0682207196951,0.0252921078354
Angry_103,33.898815155,3.94939684868,1.51129508018,2.63549160957,1.37297916412,1.07018947601,0.790796458721,0.667434513569,0.900624036789,0.325637161732,0.959897696972,0.513884007931,30.8309612274,2.52938103676,-0.35127145052,1.00710570812,-0.270557910204,-0.000882856431417,0.0474390387535,-0.34780395031,0.188532084227,-0.148763254285,0.191159024835,0.0699097216129,5.63036775589,0.464931696653,0.462824583054,0.471453398466,0.625217437744,0.156019076705,0.136454075575,0.119986727834,0.0877798497677,0.0646269246936,0.0963273569942,0.0566852688789
Angry_104,34.0967102051,3.54610085487,1.28333687782,2.92363524437,1.49462771416,1.01799333096,1.11038422585,0.370878219604,0.677440941334,0.384772360325,0.787906527519,0.804096698761,30.3371868134,1.93223690987,-0.660034954548,1.21890175343,-0.198118329048,0.295113116503,-0.0273000635207,-0.456839054823,0.173570558429,-0.271342724562,0.0239814464003,0.115999042988,8.66734218597,0.743144929409,0.833747446537,0.677182376385,0.561145961285,0.109662540257,0.16286252439,0.145524933934,0.0903455391526,0.089801825583,0.0795074626803,0.0484707728028
Angry_105,32.9398918152,4.67052221298,1.54276490211,2.40912866592,1.3139064312,0.863084614277,0.943105697632,0.739417850971,0.844311058521,0.422316491604,0.476746618748,0.659169971943,28.6964817047,2.92593073845,-0.00657658884302,0.649845004082,-0.111194491386,-0.0754478946328,0.0958479270339,-0.180132955313,0.170881673694,-0.250731915236,-0.111763760448,-0.00110281060915,2.82181596756,0.901433587074,0.328391581774,0.471569508314,0.507315814495,0.094233982265,0.114004917443,0.132125124335,0.065581060946,0.0725346207619,0.0610890947282,0.0564355514944
Angry_106,31.6109752655,5.33645534515,1.45971012115,2.14978504181,1.53907978535,0.86377543211,0.825819790363,0.67701792717,0.887618839741,0.445980370045,0.694407701492,0.434958100319,28.0993518829,2.91542601585,0.00702861417085,0.622891843319,-0.0299378540367,-0.14847625792,0.104379050434,-0.0742730200291,0.245412126184,-0.256662666798,-0.0633012801409,0.00631862087175,6.27059173584,1.12497901917,0.37569668889,0.63265556097,0.791237473488,0.141945913434,0.126037359238,0.104491777718,0.0704125314951,0.0867360010743,0.0754434615374,0.0486022047698
Angry_107,31.4216747284,4.17304897308,1.3839148283,2.86284589767,1.41767883301,0.773152291775,0.618527710438,0.454380810261,0.71880710125,0.355643391609,0.464363306761,0.506256461143,26.9036865234,2.63695955276,-0.0388838164508,0.67625772953,0.281231015921,-0.0163587611169,0.0201690103859,-0.15101402998,0.24072034657,-0.168246626854,-0.0155126424506,-0.054844442755,18.9505329132,0.781294226646,0.38239851594,0.472476929426,0.455054312944,0.125868022442,0.0959409475327,0.115785859525,0.051977481693,0.0688402801752,0.0538750551641,0.0375346690416
Angry_108,30.8217945099,5.11810731888,1.63602721691,2.63461947441,1.1798722744,0.630289256573,0.974916338921,0.908338904381,0.91837477684,0.267542004585,0.265526115894,0.496494948864,27.5704154968,2.94045853615,0.0834767222404,0.950345814228,0.121013395488,-0.223333060741,0.183562457561,-0.035292070359,0.258571386337,-0.407249629498,-0.121075429022,-0.0339450798929,8.87667655945,0.961317658424,0.510163724422,0.681729137897,0.492472082376,0.154699981213,0.0891633778811,0.126932561398,0.0891568213701,0.096065223217,0.0433511957526,0.0685177892447
Angry_109,32.0611114502,4.80866575241,1.9298055172,2.36343646049,1.24849152565,0.636374235153,0.774723649025,1.02610504627,0.648975074291,0.290274560452,0.343552827835,0.702408730984,27.9737606049,2.97130823135,0.10357003659,0.698574364185,-0.0167731810361,-0.0452065467834,0.124904863536,-0.0575830936432,0.15049277246,-0.37509560585,-0.117636561394,-0.0119046540931,12.7228794098,0.983611643314,0.407180577517,0.502486586571,0.498455703259,0.13974866271,0.0954326167703,0.156435266137,0.0833215266466,0.0841224864125,0.0743132904172,0.0815956220031
Angry_11,29.1181526184,3.97492003441,2.56634545326,2.27396917343,1.82957291603,1.13593697548,0.778339505196,0.61272495985,0.695429623127,0.825331389904,0.773196876049,0.651181578636,25.9166526794,1.61073291302,0.534247100353,0.810535550117,0.314122200012,0.16701720655,-0.023081311956,-0.168384000659,-0.0518580414355,-0.0142723368481,-0.0677032992244,0.0518301576376,7.59831809998,1.08146750927,0.561454832554,0.413598537445,0.471155911684,0.172228336334,0.17093886435,0.106439232826,0.0915321186185,0.0800524428487,0.0546308979392,0.0406781174242
Angry_110,31.9147281647,4.32392406464,1.4817276001,2.46479415894,0.888167619705,1.04387927055,0.843167185783,0.424339771271,0.764567375183,0.342088341713,0.948409616947,0.600437402725,29.2168750763,2.75120472908,-0.414167791605,1.21910023689,-0.179418668151,0.233870908618,0.00353724951856,-0.34442293644,0.145789533854,-0.270217508078,-0.0112628992647,0.0128340804949,2.40928339958,1.10981845856,0.633802473545,0.487167358398,0.293115645647,0.171113684773,0.188824221492,0.140755176544,0.0821474418044,0.0867386758327,0.0982970744371,0.0624620839953
Angry_111,32.8081893921,4.90273237228,1.48201489449,2.97471666336,1.33539152145,1.06953215599,0.830309867859,0.406738042831,0.532991528511,0.686844825745,1.05945169926,0.866674661636,27.2511940002,2.69584274292,-0.259714633226,0.9914457798,-0.266994446516,0.307030916214,0.055355515331,-0.311810731888,0.0784680247307,-0.160706803203,0.167689532042,0.068377032876,23.7188854218,1.02457618713,0.501706719398,0.670998096466,0.511121273041,0.14849062264,0.100976295769,0.0967202857137,0.0608669854701,0.147450327873,0.0958350598812,0.0698042064905
Angry_112,31.5669307709,4.41980314255,1.44465124607,2.78315472603,1.43422222137,1.28421664238,1.17939352989,0.300882041454,0.720324516296,0.467199504375,0.833859086037,0.456013798714,28.6447887421,2.3441426754,-0.456086397171,1.182467103,0.00378390215337,0.45165592432,0.0664836540818,-0.504597485065,0.0184035729617,-0.151472091675,0.0569120161235,0.0373233184218,3.93122625351,1.14602935314,0.709705471992,0.446338444948,0.433364450932,0.144533902407,0.200808033347,0.213231638074,0.121504805982,0.106445468962,0.107894644141,0.0444758161902
Angry_113,32.9968414307,4.21395587921,1.61833763123,2.9762263298,0.921394109726,1.26461720467,0.826546192169,0.274245679379,0.761258006096,0.440890789032,0.8703520298,0.488515973091,28.3469562531,2.3164203167,-0.172911390662,1.23522746563,-0.24463661015,0.346686094999,0.0819001272321,-0.324771434069,0.0529289506376,-0.250249773264,0.0313594155014,-0.0117337396368,8.92222595215,1.49970018864,0.626498043537,0.652783691883,0.410139590502,0.164225131273,0.111897349358,0.0978370606899,0.0874728560448,0.114964820445,0.108652316034,0.0574198104441
Angry_114,33.2875328064,4.14945459366,1.86206889153,3.45954799652,1.14940023422,0.9721378088,0.967095792294,0.39880913496,0.785583198071,0.430562615395,0.851689338684,0.567090272903,29.2755241394,2.44509744644,-0.0873640552163,0.943117678165,-0.0602834261954,0.22648383677,0.00437726220116,-0.371029675007,0.229820460081,-0.311147779226,0.0735476687551,0.0106915859506,5.43045473099,1.1734470129,0.650798678398,0.654655873775,0.488095998764,0.17454276979,0.168146640062,0.142335817218,0.0727792158723,0.120545431972,0.0732529833913,0.0764468312263
Angry_115,33.1618080139,4.82799911499,1.06298398972,2.85336303711,0.954295039177,1.62590956688,1.11407637596,0.641667068005,0.705977320671,0.432597637177,0.81699192524,0.563764333725,29.3695201874,2.6347849369,-0.49880951643,1.01511895657,-0.563241004944,0.674364864826,0.055330991745,-0.345796138048,0.0399809107184,-0.233461245894,0.149943754077,0.00641565769911,3.33846068382,1.09330010414,0.636796474457,0.812611758709,0.454923808575,0.123446345329,0.195587441325,0.140406951308,0.0924311429262,0.11381572485,0.0607479400933,0.0553499683738
Angry_116,30.8011264801,4.26889419556,1.76125991344,3.37041258812,1.48105192184,0.585704445839,0.548543989658,0.8281057477,1.02902507782,1.04483366013,0.847933888435,0.495417118073,24.6997661591,2.49742913246,0.172821745276,0.821607768536,0.139157950878,-0.0433228090405,0.12779250741,-0.205895751715,0.315289467573,-0.00873827282339,-0.0107728764415,-0.0754162594676,28.4646949768,0.93110615015,0.591334760189,0.573212921619,0.362703591585,0.157980456948,0.0917606279254,0.236153393984,0.0941164568067,0.133970931172,0.0978038534522,0.082399956882
Angry_117,33.3354568481,5.12234306335,2.1266951561,2.89561295509,1.46636891365,1.01430678368,0.98956745863,0.927483618259,1.0340321064,0.537290692329,0.691190481186,0.429462432861,26.3274822235,2.39887022972,0.319668054581,1.17597281933,0.137612998486,-0.0115934424102,0.0687147006392,-0.0781465619802,0.3217625916,-0.165087923408,-0.0980319529772,-0.0374067723751,22.639131546,1.18029761314,0.668354153633,0.652110815048,0.62360137701,0.172973021865,0.124399811029,0.225322112441,0.0831930339336,0.0994885191321,0.0860074684024,0.0569650046527
