session,max(max(cepstrum)),max(mean(cepstrum)),max(var(cepstrum)),mean(max(cepstrum)),mean(mean(cepstrum)),mean(var(cepstrum)),var(max(cepstrum)),var(mean(cepstrum)),var(var(cepstrum))
Angry_0,30.352737644,0.00272179384235,0.0594412143351,25.8995582348,0.00239430009109,0.0446916463881,6.95421449635,4.01237677942e-08,6.0387143882e-05
Angry_1,29.5830265007,0.00238104622438,0.0562115250768,24.0903487569,0.00192971046988,0.0387702700303,9.9772116493,3.7547163944e-08,8.66852079383e-05
Angry_10,27.7347372192,0.00202672583864,0.0491029536665,24.7132363293,0.00167441618919,0.0405289314541,2.47124306173,5.48382493216e-08,1.85948453892e-05
Angry_100,32.6014064866,0.00258662151842,0.067709817217,28.577312533,0.00221483400774,0.0538150760185,4.76096456729,7.20475539464e-08,5.36917245104e-05
Angry_101,32.0714960172,0.00259350475351,0.0663302952272,24.5585620612,0.00219000109497,0.0414881588328,23.4871275817,7.24218319332e-08,0.000220062142352
Angry_102,30.1502811335,0.00258826657253,0.0592969695144,25.5319824131,0.00209636165166,0.0440278327118,15.7975479429,5.89989111271e-08,0.000140673583096
Angry_103,30.5914417814,0.00259797559652,0.0600438739178,27.1949826554,0.0021926955537,0.0491681573087,6.15309798303,6.00112155956e-08,6.50338741476e-05
Angry_104,31.2410404777,0.00258194090367,0.0623643479088,27.8906161232,0.00225699198486,0.0513978144881,4.85819465838,5.3669823462e-08,5.1746354468e-05
Angry_105,30.2097828372,0.00237373701865,0.0585994078595,24.8587658068,0.00192353722995,0.041008556693,4.06227826976,6.63035992141e-08,3.44312271755e-05
Angry_106,27.9410927938,0.00224030925859,0.0497171999734,24.5548566533,0.00195508390197,0.0401829124626,3.76890745073,4.44743209811e-08,2.74622401066e-05
Angry_107,28.7770416053,0.00215209560013,0.0528130797384,23.5435711908,0.00184629176735,0.0372886097395,8.07720148796,4.87302017544e-08,6.56813878099e-05
Angry_108,26.8095060144,0.00232777793121,0.0463193648497,23.6176904404,0.00190095987708,0.0375115299126,4.8622256536,6.37661793105e-08,3.58639321049e-05
Angry_109,27.8742099016,0.00222232702386,0.0496519529143,23.9270079189,0.00190445781223,0.038532898484,6.39338661254,4.64346962087e-08,4.94381329769e-05
Angry_11,26.9127143252,0.00209951604432,0.0468855081705,23.6149518356,0.00172747482533,0.0379847435476,6.05529865786,4.06218443969e-08,4.28336831128e-05
Angry_110,30.00840141,0.00230115521909,0.0574886082326,25.5633089709,0.00195931761223,0.0434760486558,3.62156474056,4.8095591832e-08,3.3141754314e-05
Angry_111,30.7889680566,0.00230062397995,0.0606915647819,24.5892109262,0.00190552302698,0.0406690609922,11.792042451,6.1308058344e-08,0.000106575965281
Angry_112,29.648466495,0.00234203165907,0.056153425338,25.8916613472,0.00188459785004,0.0443784210279,2.03762182637,5.63111083431e-08,1.97126789787e-05
Angry_113,29.7317887206,0.00232694292891,0.057251856321,25.5800124517,0.00193933025979,0.0435457617942,4.88133009736,3.26559214409e-08,4.56212890948e-05
Angry_114,30.4223388933,0.00229588791148,0.0596416845554,26.2649748678,0.00194696886216,0.0457877206554,5.49391184511,5.08147348838e-08,5.34352271004e-05
Angry_115,30.9998705308,0.00230637270589,0.0610642915229,26.3898029332,0.00194076240111,0.0460189934261,2.87858191982,2.39256674869e-08,2.99186709005e-05
Angry_116,27.1524880773,0.00226497149654,0.0471030214963,21.6949181788,0.00191727279639,0.0322671007766,9.27129916199,2.78851807653e-08,7.54045947873e-05
Angry_117,29.4712983848,0.00236459063043,0.0560751269743,23.9655274358,0.0019175875923,0.038613900435,11.4391354502,5.649921817e-08,9.98609742471e-05
Angry_118,30.6216833848,0.00261945881002,0.0595578630012,27.1703100932,0.00238674445716,0.0482856261996,3.06901750412,2.98687668298e-08,2.77986800186e-05
Angry_119,29.7370333983,0.00266152791529,0.0569115715977,26.7432998926,0.00235705122334,0.0476294286505,3.05026056002,5.47279534192e-08,2.1264227912e-05
Angry_12,30.7348582866,0.00245997881991,0.0605657103323,24.7386386061,0.00230403424431,0.0406307079009,9.0111359206,9.32748222343e-09,7.98969687972e-05
Angry_120,29.4350175479,0.00265742624575,0.0553876800451,26.4973162148,0.00238642021021,0.0466669054884,3.67188167892,4.26242740745e-08,2.81382797434e-05
Angry_121,30.2457401989,0.00266467478249,0.0584019577038,26.6283046195,0.00236729407008,0.0472977170104,5.15709901943,3.55261166697e-08,3.90617071067e-05
Angry_122,29.4469302156,0.00271165880241,0.0559350691038,26.843912479,0.00242314218982,0.0477495910194,4.46533603932,3.94597201113e-08,3.64912031258e-05
Angry_123,30.7656410337,0.00264982024299,0.0607172053699,26.6657252633,0.00242248184613,0.0470444604399,5.55459744386,3.43814671809e-08,5.19931564052e-05
